,Name,name,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state,THE_US_rank 2022,City,State,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,THE_rank,WM_Rank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,DC_Ranking,AI_Ranking,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
0,divine word college,divine word college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ia,,,,national-liberal-arts-colleges,,Epworth,,private,Unranked,-2.0,,,False,,,100.0,14620.0,,67.0,,,,,,,,,,0.197,153241.0,185800.0,www.dwci.edu/,0.3971,0.6029,0.0,0.0,0.0147,0.1324,0.0,0.0,0.0,0.8529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,2.0
1,hellenic college,hellenic college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,national-liberal-arts-colleges,,Brookline,,private,Unranked,-2.0,,,False,,,76.0,22490.0,,39.0,,,,7.88,"$29,312","$51,724",57%,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,patrick henry college,patrick henry college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,va,,,,national-liberal-arts-colleges,,Purcellville,,private,Unranked,-2.0,,,False,,,76.0,28425.0,3.8,409.0,,,Suburban,,,,,,,0.0,451927.0,3951300.0,https://www.phc.edu/,0.5452,0.4548,0.6543,0.0053,0.0585,0.0824,0.0027,0.0027,0.0,0.0,0.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75847457627118,0.5882,2.0
3,pontifical college josephinum,pontifical college josephinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,,,,national-liberal-arts-colleges,,Columbus,,private,Unranked,-2.0,,,False,,,80.0,26763.0,,32.0,,,,,,,,,,0.125,205027.0,311300.0,www.pcj.edu/,1.0,0.0,0.7941,0.0588,0.0882,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.875,0.3077,2.0
4,sacred heart major seminary,sacred heart major seminary,172033.0,74%,89.0,46%,1.0,0%,39.0,17.0,-8%,166.0,,37564.0,12.0,20871.0,164.0,0.0,122.0,171.0,180.0,112.0,0%,187.0,NO,0.0,0%,149.0,30.0,175.0,196.0,mi,,,,national-liberal-arts-colleges,,Detroit,,private,Unranked,-2.0,,103.0,False,,,100.0,22277.0,,190.0,,,,,,,,,,0.0915,172033.0,231300.0,www.shms.edu/,0.5071,0.4929,0.7357,0.0,0.1071,0.0214,0.0,0.0,0.0071,0.0071,0.1214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,2.0
5,thomas more college of liberal arts,thomas more college of liberal arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nh,,,,national-liberal-arts-colleges,,Merrimack,,private,Unranked,-2.0,,,False,,,,28000.0,,89.0,,,,,,,,,249.0,0.382,183275.0,3043100.0,www.thomasmorecollege.edu/,0.4831,0.5169,0.7528,0.0,0.0562,0.0112,0.0225,0.0,0.0225,0.0225,0.1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36079.0,,0.7,2.0
6,university of the west,university of the west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,national-liberal-arts-colleges,,Rosemead,,private,Unranked,-2.0,,,False,,,,14018.0,,77.0,,,,,,,,,354.0,0.4416,449870.0,3696300.0,www.uwest.edu/,0.4068,0.5932,0.0339,0.0847,0.2542,0.1017,0.0,0.0,0.0169,0.4915,0.0169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27218.0,0.78260869565217,0.0,2.0
7,allen university,allen university,217624.0,21%,195.0,30%,186.0,-5%,98.0,46.0,18%,9.0,28108.0,35347.0,182.0,13582.0,51.0,0.0,122.0,190.0,162.0,62.0,6%,114.0,NO,1.0,0%,149.0,158.0,191.0,181.0,sc,,,,national-liberal-arts-colleges,,Columbia,,private,#186-204,-1.0,,179.0,False,,,49.0,13540.0,,603.0,,,,,,,,,325.0,0.8668,217624.0,341700.0,https://www.allenuniversity.edu/,0.5705,0.4295,0.0033,0.9303,0.0232,0.0017,0.0166,0.0,0.0017,0.0133,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25042.0,0.43355747678514,0.0,2.0
8,bethany college,bethany college,237181.0,41%,177.0,49%,180.0,-21%,190.0,40.0,-10%,175.0,45649.0,44942.0,81.0,11805.0,37.0,0.0,122.0,92.0,67.0,112.0,0%,187.0,NO,0.0,32%,3.0,181.0,103.0,82.0,wv,,,,national-liberal-arts-colleges,,Bethany,,private,#186-204,-1.0,,167.0,False,18.0,,74.0,32640.0,,545.0,870.0,,,,,,,,167.0,0.4046,237181.0,380800.0,www.bethanywv.edu/,0.5606,0.4394,0.5354,0.1515,0.064,0.0017,0.0034,0.0017,0.0354,0.1077,0.0993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47610.0,0.64918898528857,0.2927,2.0
9,bethune-cookman university,bethune-cookman university,132602.0,37%,183.0,38%,113.0,1%,32.0,356.0,19%,7.0,37270.0,29689.0,19.0,14969.0,69.0,0.6,81.0,172.0,118.0,46.0,3%,167.0,NO,1.0,9%,61.0,4.0,167.0,156.0,fl,,,,national-liberal-arts-colleges,Bethune Cookman University,Daytona Beach,,private,#186-204,-1.0,,37.0,False,15.0,,85.0,14794.0,3.3,2628.0,830.0,,,,,,,,402.0,0.7632,132602.0,146700.0,www.cookman.edu/,0.3695,0.6305,0.0068,0.804,0.0582,0.0004,0.0019,0.0,0.0263,0.0293,0.0731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29551.0,0.84966453424871,0.1783,2.0
