Name,name,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state,THE_US_rank 2022,City,State,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,THE_rank,WM_Rank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,DC_Ranking,AI_Ranking
divine word college,divine word college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ia,,,,national-liberal-arts-colleges,,Epworth,,private,Unranked,-2,,,FALSE,,,100,14620,,67,,,,,,,,,
hellenic college,hellenic college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,national-liberal-arts-colleges,,Brookline,,private,Unranked,-2,,,FALSE,,,76,22490,,39,,,,7.88,"$29,312","$51,724",57%,135,
patrick henry college,patrick henry college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,va,,,,national-liberal-arts-colleges,,Purcellville,,private,Unranked,-2,,,FALSE,,,76,28425,3.8,409,,,Suburban,,,,,,
pontifical college josephinum,pontifical college josephinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,,,,national-liberal-arts-colleges,,Columbus,,private,Unranked,-2,,,FALSE,,,80,26763,,32,,,,,,,,,
sacred heart major seminary,sacred heart major seminary,172033,74%,89,46%,1,0%,39,17,-8%,166,,37564,12,20871,164,0,122,171,180,112,0%,187,NO,0,0%,149,30,175,196,mi,,,,national-liberal-arts-colleges,,Detroit,,private,Unranked,-2,,103,FALSE,,,100,22277,,190,,,,,,,,,
thomas more college of liberal arts,thomas more college of liberal arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nh,,,,national-liberal-arts-colleges,,Merrimack,,private,Unranked,-2,,,FALSE,,,,28000,,89,,,,,,,,,249
university of the west,university of the west,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,national-liberal-arts-colleges,,Rosemead,,private,Unranked,-2,,,FALSE,,,,14018,,77,,,,,,,,,354
allen university,allen university,217624,21%,195,30%,186,-5%,98,46,18%,9,28108,35347,182,13582,51,0,122,190,162,62,6%,114,NO,1,0%,149,158,191,181,sc,,,,national-liberal-arts-colleges,,Columbia,,private,#186-204,-1,,179,FALSE,,,49,13540,,603,,,,,,,,,325
bethany college,bethany college,237181,41%,177,49%,180,-21%,190,40,-10%,175,45649,44942,81,11805,37,0,122,92,67,112,0%,187,NO,0,32%,3,181,103,82,wv,,,,national-liberal-arts-colleges,,Bethany,,private,#186-204,-1,,167,FALSE,18,,74,32640,,545,870,,,,,,,,167
bethune-cookman university,bethune-cookman university,132602,37%,183,38%,113,1%,32,356,19%,7,37270,29689,19,14969,69,0.6,81,172,118,46,3%,167,NO,1,9%,61,4,167,156,fl,,,,national-liberal-arts-colleges,Bethune Cookman University,Daytona Beach,,private,#186-204,-1,,37,FALSE,15,,85,14794,3.3,2628,830,,,,,,,,402
east-west university,east-west university,144883,14%,197,34%,197,-26%,195,35,21%,4,29841,38600,190,17992,118,0,122,194,180,112,5%,131,NO,0,0%,149,196,194,190,il,,,,national-liberal-arts-colleges,East West University,Chicago,,private,#186-204,-1,,197,FALSE,,,,23400,,487,,,,,,,,,419
georgetown college,georgetown college,156745,53%,162,65%,191,-16%,180,59,-4%,130,48092,49213,113,13769,55,0,122,158,119,79,7%,106,NO,0,63%,1,174,164,36,ky,,,,national-liberal-arts-colleges,,Georgetown,,private,#186-204,-1,,155,FALSE,18,,72,42010,3.6,1233,1030,,Suburban,3.87,"$14,522","$52,074",53%,57,256
