Name,Standarlized Name,Academic Influence Ranking (Concentrated Influence),Washington Monthly Ranking,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,State abbreviation,Times Higher Education Ranking (2022) ,City,State,US News Ranking (with ties) ,us_news_displayRank,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,Degree Choices Ranking,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
abilene christian university,abilene christian university,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abraham baldwin agricultural college,abraham baldwin agricultural college,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academy of art university,academy of art university,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adams state university,adams state university,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adelphi university,adelphi university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ny,90,Garden City,New York,,,,,,,,,,,,,,,,,,,,,,,0.2968,188429,266600,www.adelphi.edu/,0.3219,0.6781,0.4394,0.0879,0.2038,0.1301,0.0048,0.001,0.0314,0.0528,0.0488,0,0,0,0,1,0,0,55566,0.7277614011,0.5826,2
adrian college,adrian college,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adventist university of the antilles,adventist university of the antilles,1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnes scott college,agnes scott college,101,50,138600,71%,103,64%,24,-2%,68,85,9%,24,48745,47245,71,15756,85,0.8,67,47,65,39,3%,163,NO,6,8%,69,45,60,74,ga,,,,63,#63,national-liberal-arts-colleges,,Decatur,,private,TRUE,24,73,67,48150,3.8,1006,1130,27124,City,102,5.48,"$22,358","$56,274",73%,0.4097,138600,154200,www.agnesscott.edu/,0,1,0.3705,0.3164,0.1441,0.0574,0.0011,0.0033,0.0607,0.0238,0.0228,0,0,0,0,0,0,0,58167,0.6652474721,0.6949,2
alabama a&m university,alabama a&m university,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alabama state university,alabama state university,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alaska pacific university,alaska pacific university,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albany state university,albany state university,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
