Name,UnitID,WM_Rank,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state
Harvey Mudd College,115409,1,94%,7,98%,164,-1%,56,27,7%,35,118602.0,89460,1,17716,114,3.0,23,1,180,65,14%,31,NO,4,0%,149,3,2,148,CA
Berea College,156295,2,67%,121,52%,5,-17%,184,279,41%,1,38946.0,34393,42,4498,4,0.0,122,106,34,112,5%,140,YES,4,9%,60,1,120,22,KY
Wesleyan University,130697,3,91%,21,90%,95,0%,34,132,-1%,108,70325.0,67662,56,7779,12,8.8,1,18,90,99,10%,55,YES,6,0%,149,12,4,47,CT
Swarthmore College,216287,4,95%,4,93%,72,0%,40,56,8%,34,76518.0,77357,106,8954,17,3.5,19,2,86,100,4%,144,YES,6,3%,111,19,1,52,PA
Haverford College,212911,5,92%,16,90%,77,2%,22,48,2%,75,73761.0,74250,97,9140,19,3.7,18,6,54,107,36%,4,NO,6,0%,149,26,8,14,PA
Williams College,168342,6,96%,1,92%,58,-2%,60,96,7%,37,73041.0,75165,129,3264,1,4.9,8,8,123,112,4%,153,YES,5,0%,149,8,7,88,MA
Amherst College,164465,7,95%,3,90%,40,-3%,75,95,9%,25,76711.0,75204,70,5624,6,4.9,10,9,96,70,9%,60,NO,6,0%,149,6,10,96,MA
Washington and Lee University,234207,8,94%,6,90%,52,0%,43,46,1%,84,85126.0,71680,7,3421,2,0.5,85,85,122,25,32%,5,NO,3,0%,149,2,93,61,VA
Pomona College,121345,9,94%,5,93%,78,0%,42,68,12%,18,71727.0,78987,183,6727,8,2.7,30,7,21,90,6%,107,YES,4,0%,149,27,13,23,CA
Bryn Mawr College,211273,10,86%,37,87%,115,2%,19,51,-3%,123,68946.0,64092,38,15334,73,8.8,2,14,78,84,8%,78,NO,6,18%,25,44,3,45,PA
Bowdoin College,161004,11,95%,2,89%,34,-1%,53,60,-2%,118,67538.0,73247,166,8533,15,2.7,31,30,50,103,39%,2,NO,6,0%,148,41,21,9,ME
Claremont McKenna College,112260,12,92%,13,90%,66,-5%,97,38,2%,76,91873.0,75530,3,9686,22,5.5,6,102,140,21,9%,70,NO,5,0%,149,5,32,126,CA
Colby College,161086,13,91%,20,93%,130,1%,31,49,1%,86,77805.0,74115,51,3782,3,1.8,43,38,68,112,7%,96,NO,6,2%,132,9,42,85,ME
Smith College,167835,14,89%,26,94%,162,-1%,46,148,13%,17,57650.0,64605,179,13275,47,4.9,9,21,51,104,9%,68,NO,6,19%,22,48,14,26,MA
Hamilton College,191515,15,93%,10,92%,85,0%,41,69,0%,96,75777.0,71678,48,10517,29,2.3,35,62,30,82,17%,23,NO,6,0%,149,18,52,25,NY
Mount Holyoke College,166939,16,85%,39,88%,149,5%,6,117,8%,30,53576.0,57162,147,13832,56,2.6,32,17,35,112,8%,95,YES,0,12%,49,38,15,41,MA
Wellesley College,168218,17,92%,15,94%,132,0%,44,105,7%,42,71158.0,76150,159,8626,16,7.8,3,16,84,59,7%,100,NO,2,0%,147,35,6,141,MA
New College of Florida*,262129,18,64%,136,65%,110,-3%,76,50,7%,39,46668.0,45206,72,6993,9,0.9,66,11,18,112,5%,132,NO,6,0%,149,37,18,44,FL
Middlebury College,230959,19,93%,8,93%,91,-4%,83,78,2%,73,67478.0,71811,152,9618,21,2.3,36,35,10,67,6%,115,YES,6,2%,131,53,29,6,VT
Colgate University,190099,20,91%,23,90%,93,-2%,69,75,-10%,174,81502.0,71390,11,12036,38,3.3,21,56,87,98,20%,15,NO,6,3%,113,22,38,50,NY
Dickinson College,212009,21,84%,45,85%,111,1%,33,65,-5%,140,71065.0,64638,23,10535,30,1.3,50,84,55,15,13%,38,YES,6,3%,120,23,75,17,PA
Macalester College,173902,22,90%,25,89%,83,0%,35,79,8%,29,59948.0,66124,169,14169,59,2.5,34,22,13,87,22%,11,NO,6,0%,149,65,20,10,MN
Davidson College,198385,23,91%,19,85%,33,1%,25,56,-8%,165,74525.0,69782,40,7840,13,1.9,41,34,77,26,5%,142,YES,0,0%,149,14,36,104,NC
Salem College,199607,24,57%,154,41%,4,-3%,71,100,8%,26,42947.0,30678,8,14098,58,0.0,122,136,26,112,5%,138,NO,0,20%,18,7,143,58,NC
Franklin and Marshall College,212577,25,85%,43,84%,94,-1%,50,87,-6%,153,76340.0,61840,5,15677,82,4.2,13,50,88,112,8%,90,NO,4,3%,121,17,25,103,PA
Grinnell College,153384,26,87%,34,92%,165,2%,24,92,8%,31,61009.0,67698,176,14660,63,3.9,16,10,6,112,2%,176,NO,5,0%,149,76,11,40,IA
Vassar College,197133,27,92%,17,94%,143,-1%,57,140,6%,43,63486.0,70227,177,12884,45,1.3,51,12,82,92,31%,6,NO,5,1%,137,57,16,32,NY
Lafayette College,213385,28,89%,28,86%,63,-2%,66,64,-10%,177,89570.0,72070,2,16238,91,1.6,48,74,142,43,13%,37,YES,5,0%,149,15,65,66,PA
St. Olaf College,174844,29,87%,32,88%,112,-2%,70,95,8%,33,63251.0,64155,107,12982,46,1.1,56,25,31,112,4%,143,NO,6,7%,74,43,34,43,MN
University of MN–Morris*,174251,30,60%,147,58%,70,-6%,104,98,5%,59,48394.0,46008,59,4634,5,0.9,62,88,180,112,17%,24,YES,6,6%,83,21,88,51,MN
Gustavus Adolphus College,173647,31,78%,72,82%,157,-2%,64,145,17%,10,61198.0,59004,62,15677,83,0.7,75,99,56,33,3%,161,YES,6,11%,54,31,96,21,MN
Hobart & William Smith Colls.,191630,32,79%,65,78%,88,3%,15,82,-5%,135,65843.0,59675,27,19455,146,1.8,44,145,22,112,21%,14,YES,6,4%,106,54,109,5,NY
Tougaloo College,176406,33,43%,176,32%,12,6%,5,95,16%,11,34680.0,31336,53,12099,40,2.8,24,70,113,75,3%,165,NO,2,0%,144,11,48,166,MS
College of the Holy Cross,166124,34,91%,18,88%,57,-3%,74,112,-5%,141,84118.0,69335,4,15751,84,0.7,71,110,52,14,4%,145,NO,4,0%,149,13,100,97,MA
University of Richmond,233374,35,85%,42,88%,150,-2%,61,147,1%,88,75013.0,68836,26,11534,34,3.0,22,87,133,35,6%,109,YES,0,5%,95,16,55,114,VA
Carleton College,173258,36,93%,9,96%,136,-5%,96,63,6%,47,68733.0,73746,160,13627,52,4.3,12,4,32,112,6%,113,NO,2,0%,149,86,5,89,MN
Bethune-Cookman University,132602,37,37%,183,38%,113,1%,32,356,19%,7,37270.0,29689,19,14969,69,0.6,81,172,118,46,3%,167,NO,1,9%,61,4,167,156,FL
Juniata College,213251,38,80%,61,74%,30,8%,4,78,0%,93,58446.0,58108,85,18586,133,0.5,84,39,72,112,5%,133,YES,5,9%,65,40,57,42,PA
Bates College,160977,39,91%,22,90%,97,1%,26,51,-6%,152,65283.0,71473,170,8222,14,2.1,38,51,74,112,13%,34,YES,6,0%,149,61,49,30,ME
Trinity College,130590,40,83%,51,85%,134,4%,11,60,0%,103,72387.0,67352,35,11621,36,1.8,42,96,83,112,5%,127,NO,6,1%,135,20,72,99,CT
