Name,us_news_schoolType,us_news_aliasNames,state,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting
Agnes Scott College,national-liberal-arts-colleges,,GA,Decatur,,private,#63,63,True,24.0,73.0,67.0,48150.0,3.8,1006,1130.0,27124.0,City
Albion College,national-liberal-arts-colleges,,MI,Albion,,private,#124,124,True,,,67.0,55746.0,3.4,1454,,,Rural
Albright College,national-liberal-arts-colleges,,PA,Reading,,private,#146,146,True,,,76.0,28794.0,,1298,,,
Allegheny College,national-liberal-arts-colleges,,PA,Meadville,,private,#75,75,True,23.0,70.0,64.0,54960.0,3.5,1353,1114.0,41967.0,Suburban
Allen University,national-liberal-arts-colleges,,SC,Columbia,,private,#186-204,-1,False,,,49.0,13540.0,,603,,,
Amherst College,national-liberal-arts-colleges,,MA,Amherst,,private,#2,2,False,32.0,56.0,7.0,67280.0,,1898,,17257.0,
Antioch College,national-liberal-arts-colleges,,OH,Yellow Springs,,private,#100,100,True,19.0,,83.0,37143.0,,127,,,
Aquinas College,national-liberal-arts-colleges,,MI,Grand Rapids,,private,#156,156,True,,,91.0,38520.0,,1169,1000.0,,Suburban
Augustana College,national-liberal-arts-colleges,,IL,Rock Island,,private,#100,100,True,21.0,66.0,61.0,49834.0,3.4,2318,1020.0,31866.0,Suburban
Austin College,national-liberal-arts-colleges,,TX,Sherman,,private,#93,93,True,23.0,65.0,55.0,46025.0,3.6,1169,1130.0,25948.0,
Ave Maria University,national-liberal-arts-colleges,,FL,Ave Maria,,private,#182,182,True,,,44.0,28224.0,,1251,,,
Bard College,national-liberal-arts-colleges,,NY,Annandale on Hudson,,private,#72,72,False,,,60.0,60270.0,,2171,,,
Barnard College,national-liberal-arts-colleges,,NY,New York,,private,#11,11,True,32.0,,9.0,66246.0,,3442,1440.0,,City
Bates College,national-liberal-arts-colleges,,ME,Lewiston,,private,#24,24,False,31.0,40.0,14.0,63478.0,,1790,1310.0,27515.0,
Beloit College,national-liberal-arts-colleges,,WI,Beloit,,private,#86,86,True,26.0,67.0,66.0,58554.0,3.3,964,1190.0,26988.0,City
Bennett College,national-liberal-arts-colleges,,NC,Greensboro,,private,#180,180,True,,,79.0,18550.0,,207,,,
Bennington College,national-liberal-arts-colleges,,VT,Bennington,,private,#112,112,True,29.0,,45.0,64644.0,3.6,785,1260.0,,
Berea College,national-liberal-arts-colleges,,KY,Berea,,private,#30,30,True,23.0,,25.0,726.0,3.6,1433,1136.0,,
Bethany College (WV),national-liberal-arts-colleges,,WV,Bethany,,private,#186-204,-1,False,18.0,,74.0,32640.0,,545,870.0,,
Bethany Lutheran College,national-liberal-arts-colleges,,MN,Mankato,,private,#159,159,True,20.0,,58.0,30010.0,3.5,784,990.0,,Rural
Bethune-Cookman University,national-liberal-arts-colleges,Bethune Cookman University,FL,Daytona Beach,,private,#186-204,-1,False,15.0,,85.0,14794.0,3.3,2628,830.0,,
Birmingham-Southern College,national-liberal-arts-colleges,Birmingham Southern College,AL,Birmingham,,private,#135,135,True,22.0,,57.0,22750.0,3.7,975,1150.0,,Urban
Bowdoin College,national-liberal-arts-colleges,,ME,Brunswick,,private,#9,9,True,33.0,48.0,9.0,64910.0,,1915,1460.0,21380.0,Suburban
Bridgewater College,national-liberal-arts-colleges,,VA,Bridgewater,,private,#167,167,True,22.0,,90.0,41350.0,,1385,1020.0,,
Bryn Athyn College of the New Church,national-liberal-arts-colleges,,PA,Bryn Athyn,,private,#174,174,True,19.0,,80.0,28669.0,3.2,272,980.0,,Suburban
Bryn Mawr College,national-liberal-arts-colleges,,PA,Bryn Mawr,,private,#30,30,True,29.0,44.0,31.0,62560.0,,1409,1280.0,22118.0,
Bucknell University,national-liberal-arts-colleges,,PA,Lewisburg,,private,#30,30,True,30.0,39.0,33.0,64772.0,3.6,3747,1310.0,38645.0,Rural
Carleton College,national-liberal-arts-colleges,,MN,Northfield,,private,#9,9,True,32.0,58.0,17.0,65457.0,,2034,1430.0,28244.0,
Centenary College,national-liberal-arts-colleges,,LA,Shreveport,,private,#139,139,True,21.0,,64.0,40000.0,,523,1080.0,,Urban
Central College,national-liberal-arts-colleges,,IA,Pella,,private,#135,135,True,19.0,,79.0,20988.0,3.6,1169,1040.0,,Rural
Centre College,national-liberal-arts-colleges,,KY,Danville,,private,#51,51,True,26.0,61.0,62.0,50550.0,3.8,1357,1195.0,22386.0,City
Cheyney University of Pennsylvania,national-liberal-arts-colleges,,PA,Cheyney,,public,#182,182,True,,,,18870.0,,642,,,
Claflin University,national-liberal-arts-colleges,,SC,Orangeburg,,private,#159,159,True,17.0,,78.0,17046.0,3.0,1749,840.0,,
Claremont McKenna College,national-liberal-arts-colleges,,CA,Claremont,,private,#11,11,True,33.0,42.0,10.0,64150.0,,1386,1440.0,23392.0,
Coe College,national-liberal-arts-colleges,,IA,Cedar Rapids,,private,#130,130,True,22.0,,72.0,52576.0,3.6,1264,1080.0,,Urban
Colby College,national-liberal-arts-colleges,,ME,Waterville,,private,#25,25,True,32.0,40.0,8.0,66600.0,,2299,1430.0,19048.0,
Colgate University,national-liberal-arts-colleges,,NY,Hamilton,,private,#21,21,True,32.0,33.0,12.0,67024.0,3.9,3130,1410.0,21721.0,Rural
College of St. Benedict,national-liberal-arts-colleges,College of St Benedict College of Saint Benedict,MN,St. Joseph,,private,#73,73,True,20.0,67.0,88.0,53884.0,3.7,1443,1055.0,29455.0,Suburban
College of the Atlantic,national-liberal-arts-colleges,,ME,Bar Harbor,,private,#156,156,True,27.0,,60.0,46179.0,3.8,377,1230.0,,Rural
College of the Holy Cross,national-liberal-arts-colleges,,MA,Worcester,,private,#27,27,True,28.0,39.0,36.0,60850.0,,3233,1260.0,34577.0,City
The College of Wooster,national-liberal-arts-colleges,,OH,Wooster,,private,#75,75,True,27.0,64.0,56.0,59550.0,3.7,1967,1250.0,31608.0,Suburban
Colorado College,national-liberal-arts-colleges,,CO,Colorado Springs,,private,#33,33,False,,,14.0,65028.0,,2241,,,
Concordia College--Moorhead,national-liberal-arts-colleges,Concordia College Moorhead Concordia College Moorhead,MN,Moorhead,,private,#146,146,True,21.0,,66.0,28916.0,3.6,1827,1410.0,,Urban
Connecticut College,national-liberal-arts-colleges,,CT,New London,,private,#46,46,True,30.0,49.0,40.0,64812.0,3.8,1948,1360.0,35116.0,Suburban
Cornell College,national-liberal-arts-colleges,,IA,Mount Vernon,,private,#116,116,True,23.0,,79.0,50634.0,3.6,1060,1170.0,,Suburban
Covenant College,national-liberal-arts-colleges,,GA,Lookout Mountain,,private,#135,135,True,24.0,,84.0,40414.0,3.8,846,1140.0,,Suburban
Davidson College,national-liberal-arts-colleges,,NC,Davidson,,private,#16,16,True,31.0,51.0,17.0,60050.0,3.8,1927,1350.0,22717.0,
Denison University,national-liberal-arts-colleges,,OH,Granville,,private,#39,39,True,29.0,56.0,22.0,64000.0,,2330,1270.0,34101.0,Suburban
